,Eventdata
5458,"[[], [[15.0, 0.42242576264468906, 0.04517482318882111, 3.0, 3, 0.2787778326178259, 0.021200920500736308], 1], [[15.0, 0.4332126355754278, 0.04659336242095491, 1.0, 7, 0.3457165662139486, 0.014390233349352004], 1], [0.06062353402376175, 0.31479325890541077, 0.6245831847190857], 1]"
5459,"[[[14.0, 0.39547931482522225, 0.08117038913316274, 0.0, 0, 0.31265381083562904, 0.018023310109534774], 1], [], [], [0.06376542150974274, 0.36650052666664124, 0.5697340369224548], 1]"
5460,"[[[15.0, 0.3763751578379666, 0.03655666137967859, 0.0, 12, 0.23697613120266273, 0.007496770122074136], 1], [], [], [0.13652116060256958, 0.5412272214889526, 0.32225164771080017], 1]"
5461,"[[[5.0, 0.3858800778008523, 0.02236601355688352, 1.0, 15, 0.24416933933860213, 0.00860131115714929], 1], [], [], [0.06677103042602539, 0.3397440016269684, 0.5934849381446838], 1]"
5462,"[[], [[13.0, 0.3290347776317388, 0.13796359405514633, 2.0, 10, 0.19405903715429743, 0.021545028476898088], 0], [], [0.1335168033838272, 0.6148712038993835, 0.25161197781562805], 1]"
5463,"[[], [[15.0, 0.3965870389570857, 0.07179132152543563, 0.0, 0, 0.3385240646360149, 0.021181542274142175], 1], [], [0.055693838745355606, 0.26088136434555054, 0.6834247708320618], 1]"
5464,"[[[14.0, 0.6214757631544038, 0.014773068852772077, 1.0, 3, 0.5253279346406795, 0.004686493890785269], 1], [[14.0, 0.4408332891946051, 0.027189907149740896, 4.0, 10, 0.2933709449929478, 0.009529814610546047], 1], [], [0.2168302983045578, 0.31690603494644165, 0.46626368165016174], 1]"
5465,"[[], [], [[9.0, 0.5890704307325081, 0.02634854320742945, 0.0, 6, 0.4619784575475118, 0.004553978376531776], 1], [0.2452995926141739, 0.6181330680847168, 0.1365673542022705], 1]"
5466,"[[[16.0, 0.559586739384107, 0.028710091164263755, 0.0, 0, 0.45935440256886934, 0.01122628326664279], 1], [], [], [0.04784255474805832, 0.1406787484884262, 0.8114786744117737], 1]"
5467,"[[], [[16.0, 0.3314208969340718, 0.10622410953438532, 0.0, 0, 0.16376969337159317, 0.025879189177084826], 1], [], [0.057581592351198196, 0.24530154466629028, 0.6971168518066406], 1]"
5468,"[[[18.0, 0.501443197534803, 0.03708160932580095, 0.0, 0, 0.45862577123764536, 0.015945294110410655], 1], [], [[18.0, 0.3704926976947636, 0.0741350276569394, 2.0, 6, 0.21679256691733165, 0.014196921903561059], 1], [0.04844050481915474, 0.10395076870918274, 0.847608745098114], 1]"
5469,"[[], [[19.0, 0.3813380731821946, 0.04252398348181889, 1.0, 11, 0.323622897614855, 0.017441798850899585], 1], [[19.0, 0.386203478252425, 0.04239985255703239, 1.0, 7, 0.2754189774828015, 0.009545550642995696], 0], [0.4264349341392517, 0.4120869040489197, 0.1614781618118286], 1]"
5470,"[[[34.0, 0.6412981677489529, 0.028422859233655805, 0.0, 0, 0.627398902568359, 0.013048218266536767], 1], [], [], [0.06008901819586754, 0.3142743408679962, 0.625636637210846], 1]"
5471,"[[[16.0, 0.3532620370297995, 0.047276456673157136, 2.0, 14, 0.2675834534767661, 0.008011299163579589], 1], [], [], [0.1397850513458252, 0.7123112082481384, 0.14790372550487518], 1]"
5472,"[[], [[29.0, 0.4720492485178078, 0.0100614602753454, 1.0, 9, 0.40004708652148324, 0.002860889490158396], 1], [[29.0, 0.5519955306534727, 0.05867950566900786, 4.0, 16, 0.5376186111198913, -965643.8016108923], 1], [0.6265045404434204, 0.251518189907074, 0.12197726219892502], 1]"
5473,"[[], [[15.0, 0.4509687045673858, 0.0657231191827904, 0.0, 0, 0.3874933080147061, 0.01975324003137581], 1], [], [0.8446853756904602, 0.09167015552520752, 0.06364446133375168], 1]"
5474,"[[[15.0, 0.4003906629384797, 0.02330798787857593, 1.0, 11, 0.23385796231653297, 0.0029110851922131585], 1], [[15.0, 0.5303126043672074, 0.05603682043173676, 0.0, 0, 0.4514532550448449, 0.00882147720900258], 1], [], [0.260643869638443, 0.5690892934799194, 0.17026683688163757], 1]"
5475,"[[], [[13.0, 0.5832862059454383, 0.030616694760971647, 1.0, 5, 0.5558730387959935, 0.007428786511564223], 1], [], [0.06509045511484146, 0.3770824074745178, 0.5578271150588989], 1]"
5476,"[[[15.0, 0.9117189861033672, 0.0014114787640463972, 2.0, 8, 0.910375022018937, 0.0007496156169174092], 1], [], [], [0.05397595092654228, 0.3109053671360016, 0.6351186633110046], 1]"
5477,"[[[16.0, 0.36175885289415066, 0.02652287225737394, 1.0, 13, 0.2821925530068917, 0.00973086464312068], 1], [], [], [0.14657823741436005, 0.7381722331047058, 0.11524954438209534], 1]"
5478,"[[], [[17.0, 0.7209563768665675, 0.021585786001617938, 0.0, 0, 0.7094267465557708, 0.006419968944182085], 1], [], [0.07356522232294083, 0.4560762345790863, 0.4703585207462311], 1]"
5479,"[[[23.0, 0.31392036991218414, 0.038335288973922126, 2.0, 18, 0.21896415781813888, 0.008259321571478339], 0], [[23.0, 0.3592263036942294, 0.05843923141342099, 1.0, 11, 0.28677788066239285, 0.005494790251647044], 1], [], [0.07230571657419205, 0.3657695949077606, 0.5619246959686279], 1]"
5480,"[[[26.0, 0.36556170004394034, 0.03863956152966242, 0.0, 6, 0.2639253377065617, 0.005179801285610209], 1], [], [], [0.06876835227012634, 0.584606945514679, 0.3466247022151947], 1]"
5481,"[[], [[19.0, 0.42000159068701615, 0.08396378142662264, 3.0, 9, 0.33620207890913156, 0.015937329563092087], 1], [], [0.6713160872459412, 0.16071058809757233, 0.1679733246564865], 1]"
5482,"[[], [[17.0, 0.48953747515843105, 0.03797705862412377, 0.0, 0, 0.4256204279055596, 0.012296684095716836], 1], [], [0.06402699649333954, 0.6790332794189453, 0.25693970918655396], 1]"
5483,"[[[23.0, 0.5126038658767506, 0.0774422458401738, 0.0, 0, 0.4046086397605503, 0.009286717483339351], 1], [], [[23.0, 0.4856090091754937, 0.038397558158296145, 4.0, 14, 0.4535915523145877, -512683.1804195563], 1], [0.06257152557373047, 0.4828170835971832, 0.4546113908290863], 1]"
5484,"[[[22.0, 0.43913878509859433, 0.009302440808699831, 0.0, 10, 0.37158631031532674, 0.002888015771384167], 1], [], [], [0.7952476143836975, 0.13505296409130096, 0.06969944387674332], 1]"
5485,"[[[16.0, 0.21941582965216463, 0.09037192152692841, 1.0, 21, 0.09691087071139541, 0.011811768614102002], 1], [], [], [0.7319944500923157, 0.14710798859596252, 0.1208975613117218], 1]"
5486,"[[[16.0, 0.4985550206741228, 0.01823048639159473, 5.0, 9, 0.41703061413666187, 0.002135784455106211], 1], [], [], [0.11173872649669647, 0.6238300204277039, 0.26443126797676086], 1]"
5487,"[[[12.0, 0.6038110789689036, 0.0308023327982825, 0.0, 0, 0.5835473035452391, 0.013768232798978396], 1], [], [], [0.05002518370747566, 0.1630782037973404, 0.7868965864181519], 1]"
5488,"[[], [[12.0, 0.6433409985249599, 0.01829993787430951, 0.0, 6, 0.6289314519760375, 0.005528183552008716], 1], [], [0.06041288375854492, 0.27632054686546326, 0.6632665395736694], 1]"
5489,"[[[16.0, 0.4466581790636217, 0.016633287703328083, 5.0, 15, 0.3803118539386314, 0.003226902897747444], 1], [[16.0, 0.6417450424074524, 0.017837343808322983, 0.0, 0, 0.5824432452163381, 0.008454427518563321], 1], [], [0.24050521850585938, 0.5613255500793457, 0.19816921651363373], 1]"
5490,"[[[13.0, 0.47709436551538104, 0.015359469782886524, 1.0, 13, 0.3567879257187106, 0.003634279469128108], 1], [[13.0, 0.6550893372824053, 0.027237797763898643, 0.0, 2, 0.6396718224521051, 0.008326440240892793], 1], [], [0.17124736309051514, 0.4435228705406189, 0.38522976636886597], 1]"
5491,"[[[34.0, 0.31561746869907986, 0.03417369344810806, 2.0, 18, 0.20181729974956403, 0.0035542617460723406], 1], [], [], [0.045831095427274704, 0.12698623538017273, 0.8271826505661011], 1]"
5492,"[[], [[15.0, 0.5399463922871848, 0.017873760898122953, 1.0, 9, 0.49145683918573485, 0.006046905500963666], 1], [], [0.055449698120355606, 0.3531956374645233, 0.5913546681404114], 1]"
5493,"[[], [[15.0, 0.44291995719021304, 0.0309633377700298, 2.0, 8, 0.33457410713697483, 0.007355442544134224], 0], [], [0.06441593915224075, 0.5150864124298096, 0.4204976558685303], 1]"
5494,"[[[15.0, 0.34619498038126634, 0.04119071802972341, 0.0, 8, 0.2209890460839682, 0.0056019534070844285], 1], [[15.0, 0.32785975352132624, 0.038463243073741125, 0.0, 14, 0.20620174150818643, 0.006195671765488292], 1], [], [0.06625109910964966, 0.42521435022354126, 0.5085345506668091], 1]"
5495,"[[[16.0, 0.4742840852756998, 0.011190881639653755, 1.0, 5, 0.31720789615526457, 0.0038508942965968618], 1], [], [], [0.20193852484226227, 0.5635817646980286, 0.23447971045970917], 1]"
5496,"[[], [[15.0, 0.6722550663734916, 0.027930438240558797, 0.0, 0, 0.659171737392237, 0.009335348663187432], 1], [], [0.047180529683828354, 0.39547279477119446, 0.5573467016220093], 1]"
5497,"[[[16.0, 0.24626179658058733, 0.0745544288554531, 1.0, 15, 0.12372786550118192, 0.005861502861800938], 1], [], [], [0.9006375074386597, 0.0789206475019455, 0.020441869273781776], 1]"
5498,"[[], [[17.0, 0.3644568099565125, 0.03524775632892829, 1.0, 9, 0.25667566813975073, 0.004176478839489169], 1], [], [0.13238127529621124, 0.39858731627464294, 0.4690313935279846], 1]"
5499,"[[], [], [[22.0, 0.3461132456643527, 0.046081433062973055, 3.0, 13, 0.27171432936294776, 0.01179709477974608], 1], [0.05714648216962814, 0.2566593289375305, 0.6861941814422607], 1]"
5500,"[[[39.0, 0.480475933060398, 0.007457942365568058, 5.0, 13, 0.32992831784980753, 0.002373552971381361], 1], [], [[39.0, 0.3415106358072066, 0.04693578294760322, 6.0, 12, 0.27621659881717164, -1449968.1085989047], 0], [0.8840839862823486, 0.05355645343661308, 0.062359586358070374], 1]"
5501,"[[[22.0, 0.3856944187522602, 0.016189080297372843, 0.0, 12, 0.2633027066354159, 0.0010433677909725092], 1], [], [], [0.48095467686653137, 0.2426166534423828, 0.2764286696910858], 1]"
5502,"[[], [[11.0, 0.49629680409812216, 0.031180764927120085, 0.0, 8, 0.4179369654585834, 0.006265279467692623], 1], [], [0.07779337465763092, 0.4584580659866333, 0.463748574256897], 1]"
5503,"[[[10.0, 0.3216344971490078, 0.060319596995979885, 1.0, 17, 0.22638862128420606, 0.009551528590756381], 1], [], [], [0.06281488388776779, 0.5486862063407898, 0.3884989023208618], 1]"
5504,"[[[12.0, 0.5312721605874302, 0.012692244528235818, 1.0, 7, 0.48216478779726785, 0.004636390723315596], 1], [[12.0, 0.5611686502764445, 0.04311481409292802, 0.0, 0, 0.5048082117774176, 0.0104227163698252], 1], [], [0.21437858045101166, 0.6025204062461853, 0.18310102820396423], 1]"
5505,"[[], [[13.0, 0.4081760444650859, 0.018359041858576102, 2.0, 8, 0.2634819167936507, 0.002656991220817697], 1], [], [0.05467720702290535, 0.279657781124115, 0.6656650304794312], 1]"
5506,"[[[8.0, 0.7373243083544988, 0.012831906743615179, 1.0, 1, 0.6890901422269368, 0.003579346402026982], 1], [], [], [0.048014555126428604, 0.16814054548740387, 0.7838448882102966], 1]"
5507,"[[[17.0, 0.553371445479056, 0.03419233132408914, 0.0, 0, 0.4638476135485365, 0.012377122205359352], 1], [[17.0, 0.29962762533245335, 0.0856293902929732, 5.0, 13, 0.1265334735366281, 0.00895069278368005], 1], [], [0.056191232055425644, 0.21754863858222961, 0.7262601256370544], 1]"
5508,"[[], [[11.0, 0.5227324713599708, 0.009505345748178842, 0.0, 8, 0.45616430772637523, 0.0028545859055115878], 1], [], [0.21787908673286438, 0.5986008048057556, 0.1835200935602188], 1]"
5509,"[[[10.0, 0.5363662502742311, 0.02504714021565855, 0.0, 0, 0.38882266378381936, 0.002882738347068415], 0], [], [], [0.051298994570970535, 0.5055491924285889, 0.4431518018245697], 1]"
5510,"[[], [[15.0, 0.41423602024087436, 0.0367271810905961, 0.0, 4, 0.2506071332393621, 0.005191845901638299], 1], [], [0.12672993540763855, 0.5500791072845459, 0.32319095730781555], 1]"
5511,"[[[13.0, 0.5653268981285516, 0.01707247433925358, 2.0, 2, 0.42215594639163423, 0.0011717916446722725], 1], [], [], [0.12493898719549179, 0.3919643759727478, 0.4830966293811798], 1]"
5512,"[[], [[15.0, 0.48137448758141, 0.05026348082172479, 0.0, 0, 0.370425276925315, 0.020771272116302752], 1], [], [0.7931745052337646, 0.13462123274803162, 0.07220425456762314], 1]"
5513,"[[[16.0, 0.3254901491684049, 0.02517536831406421, 5.0, 11, 0.20725228128266499, 0.002454600505771412], 1], [], [], [0.05652919039130211, 0.25454267859458923, 0.6889281272888184], 1]"
5514,"[[[16.0, 0.32824518027508126, 0.055095081062252575, 1.0, 19, 0.2241006385524422, 0.010415595511482505], 1], [], [], [0.07353352010250092, 0.7396865487098694, 0.1867799162864685], 1]"
5515,"[[[16.0, 0.371060691001937, 0.03628540558944263, 2.0, 12, 0.27078424532478157, 0.006131248004136746], 1], [], [], [0.0614452138543129, 0.4771532714366913, 0.4614015221595764], 1]"
5516,"[[[32.0, 0.36974079556148065, 0.030047178790183517, 0.0, 22, 0.2647163310533053, 0.01955858234238965], 0], [], [], [0.055898912250995636, 0.28922343254089355, 0.6548776626586914], 1]"
5517,"[[[15.0, 0.6963284362604688, 0.019635289723277414, 0.0, 0, 0.6817252365780588, 0.00906658958209778], 1], [[15.0, 0.7677411683739046, 0.016414590063603164, 0.0, 0, 0.7623989910559911, 0.005917144680681287], 1], [], [0.07967627048492432, 0.20084474980831146, 0.719478964805603], 1]"
5518,"[[], [[16.0, 0.3795311015549568, 0.0706035378577428, 0.0, 0, 0.2977118094081688, 0.02271228302632794], 1], [], [0.06637760996818542, 0.42851176857948303, 0.5051106214523315], 1]"
5519,"[[], [[12.0, 0.45839063974529026, 0.04612243484179517, 1.0, 5, 0.3773000271627046, 0.007665683448070511], 1], [], [0.06478352099657059, 0.46943312883377075, 0.46578335762023926], 1]"
5520,"[[[17.0, 0.6898302188977905, 0.013368595031546998, 0.0, 0, 0.6222078192634429, 0.0026536777901646847], 0], [[17.0, 0.3145441489874993, 0.04725455623373508, 2.0, 10, 0.15944114969969356, 0.0059669923940036665], 1], [], [0.06484784185886383, 0.4096038043498993, 0.5255483388900757], 1]"
5521,"[[[11.0, 0.8093094012430748, 0.00911865024610318, 1.0, 1, 0.8040852401060591, 0.0025502783227108845], 1], [], [], [0.08407784253358841, 0.4368676245212555, 0.4790545105934143], 1]"
5522,"[[[10.0, 0.386823343148335, 0.02727967156035165, 0.0, 8, 0.27476507405255524, 0.0035075347770156863], 1], [], [], [0.25629350543022156, 0.49479401111602783, 0.2489124834537506], 1]"
5523,"[[[10.0, 0.4714425340963333, 0.013586509295228278, 4.0, 12, 0.4274119339001449, 0.005227017957278622], 1], [], [], [0.04686511680483818, 0.16788995265960693, 0.7852449417114258], 1]"
5524,"[[[16.0, 0.2889087108045668, 0.027615523545044554, 1.0, 13, 0.17193104246210805, 0.0026022920907449293], 1], [], [], [0.16337919235229492, 0.6116835474967957, 0.22493726015090942], 1]"
5525,"[[[12.0, 0.5542770424798624, 0.009420187995742018, 0.0, 10, 0.4926377781310698, 0.002457089016305979], 1], [], [[12.0, 0.3280341758850871, 0.0745012842662484, 3.0, 13, 0.23334890756374232, -572288.0749139808], 1], [0.061605751514434814, 0.3421015739440918, 0.5962926745414734], 1]"
5526,"[[[18.0, 0.3612671959836726, 0.04764496684084015, 2.0, 8, 0.27431924219309345, 0.005028078812177165], 1], [], [], [0.13594627380371094, 0.7497201561927795, 0.11433357745409012], 1]"
5527,"[[], [[10.0, 0.4810001668226343, 0.037988242024572516, 2.0, 2, 0.3421297130891795, 0.013367799389830258], 1], [], [0.44593545794487, 0.43125662207603455, 0.12280793488025665], 1]"
5528,"[[], [[13.0, 0.47838494566946155, 0.04734548211088545, 3.0, 9, 0.4406884732728609, 0.008069240169993431], 1], [], [0.048033371567726135, 0.2738760709762573, 0.6780905723571777], 1]"
5529,"[[], [], [], [0.1082802265882492, 0.6360812187194824, 0.25563856959342957], 1]"
5530,"[[[13.0, 0.2920822507895924, 0.06523426683259047, 2.0, 10, 0.16951221242957096, 0.011192068587449314], 1], [], [], [0.15451450645923615, 0.5345408916473389, 0.3109445869922638], 1]"
5531,"[[[16.0, 0.5951688627579699, 0.009522582984964474, 2.0, 12, 0.5779580889341376, 0.001858994785406873], 1], [], [], [0.0656285211443901, 0.38452157378196716, 0.5498498678207397], 1]"
5532,"[[[8.0, 0.39921401831359027, 0.07418223143162858, 0.0, 0, 0.2634424267168985, 0.015994336794505997], 0], [], [], [0.04681035503745079, 0.1490032821893692, 0.8041863441467285], 1]"
5533,"[[], [[19.0, 0.4779342930655779, 0.04809421111515517, 2.0, 12, 0.4237508739253827, 0.01426685961325055], 1], [], [0.30234453082084656, 0.3085450232028961, 0.3891104459762573], 1]"
5534,"[[[9.0, 0.4269973142401918, 0.017219490424364076, 0.0, 12, 0.3152019813415281, 0.002887152231137904], 1], [], [], [0.09737500548362732, 0.8183684945106506, 0.08425650745630264], 1]"
5535,"[[], [[16.0, 0.36711506410037836, 0.06762631150368127, 1.0, 7, 0.22080867588228884, 0.009803774171563176], 1], [], [0.046272944658994675, 0.12955506145954132, 0.8241720199584961], 1]"
5536,"[[[29.0, 0.5478513161285997, 0.012601424184204527, 2.0, 4, 0.49660564687190456, 0.002228177553165531], 1], [[29.0, 0.24464671471259203, 0.040675767257979396, 1.0, 15, 0.13765480034331956, 0.0033332388672502556], 0], [], [0.4052812159061432, 0.41506049036979675, 0.17965829372406006], 1]"
5537,"[[], [], [[15.0, 0.4515753362521423, 0.06053236862488323, 0.0, 0, 0.297793807506116, 0.014695236725929504], 1], [0.10788199305534363, 0.724399745464325, 0.16771827638149261], 1]"
5538,"[[], [[10.0, 0.5116079446203013, 0.03572320140351181, 0.0, 0, 0.368625205008721, 0.007963311952074646], 1], [], [0.2923494279384613, 0.3603999614715576, 0.3472506105899811], 1]"
5539,"[[], [[19.0, 0.5675105564680845, 0.02622507147036426, 2.0, 12, 0.54511066809794, 0.006870416741720937], 1], [], [0.16710032522678375, 0.5822699069976807, 0.2506297528743744], 1]"
5540,"[[], [[19.0, 0.5287291535284774, 0.029919927064622553, 0.0, 14, 0.5081875819604603, 0.007000952285214348], 1], [], [0.5686317086219788, 0.12876629829406738, 0.30260196328163147], 1]"
5541,"[[[22.0, 0.46219033234259516, 0.019611218131492737, 2.0, 8, 0.2783198191591646, 0.005844129302901923], 1], [[22.0, 0.44907212728347934, 0.02990395719176391, 5.0, 13, 0.4197763532300665, 0.006132473909436634], 1], [], [0.08779274672269821, 0.4931185841560364, 0.4190886914730072], 1]"
5542,"[[], [[9.0, 0.52467942540106, 0.039420921125566416, 0.0, 6, 0.4758020983094873, 0.0036263179796735268], 1], [], [0.05715516582131386, 0.16456814110279083, 0.7782766819000244], 1]"
5543,"[[], [[15.0, 0.6677520645037989, 0.0262032190163063, 0.0, 0, 0.6550395788773633, 0.008941983197429145], 1], [], [0.05455565080046654, 0.19917264580726624, 0.7462717294692993], 1]"
5544,"[[[15.0, 0.3496294172212462, 0.048621609063703136, 2.0, 14, 0.21822690638561687, 0.009832144602095026], 1], [], [], [0.04722389206290245, 0.14115872979164124, 0.811617374420166], 1]"
5545,"[[[14.0, 0.589003909086551, 0.014751842420424932, 4.0, 10, 0.5281786194013101, 0.0032408861877099293], 1], [], [], [0.19224813580513, 0.632498562335968, 0.17525330185890198], 1]"
5546,"[[], [[14.0, 0.6044670694547909, 0.019644441047680282, 4.0, 10, 0.548436530876334, 0.004094517753713733], 1], [], [0.05729781463742256, 0.28035348653793335, 0.6623486876487732], 1]"
5547,"[[[10.0, 0.8918335273351184, 0.002725216506332317, 2.0, 2, 0.8866872371424087, 0.001578659578960688], 1], [], [], [0.07018817216157913, 0.463003545999527, 0.4668082892894745], 1]"
5548,"[[], [[16.0, 0.439819435710903, 0.044903571632674576, 1.0, 1, 0.33870312180272405, 0.008602534999226231], 1], [], [0.07363495230674744, 0.2854289412498474, 0.6409360766410828], 1]"
5549,"[[], [[31.0, 0.3546988206024176, 0.043350860247827944, 8.0, 12, 0.2897594290757012, 0.0306068674231857], 1], [], [0.06812655180692673, 0.462349534034729, 0.46952390670776367], 1]"
5550,"[[[18.0, 0.36049418854953186, 0.04203727673331144, 2.0, 12, 0.2949489984023596, 0.02109145983459973], 1], [], [], [0.12730157375335693, 0.5794761180877686, 0.2932223379611969], 1]"
5551,"[[[23.0, 0.3515456471435703, 0.02718853482445717, 1.0, 15, 0.22449492230954174, 0.010462374602098666], 1], [[23.0, 0.3716971552703686, 0.024236516211702468, 5.0, 11, 0.25819410385292296, 0.0036962303176033776], 1], [], [0.11509918421506882, 0.6609373688697815, 0.22396346926689148], 1]"
5552,"[[[29.0, 0.3049895579765453, 0.03391275583317295, 3.0, 17, 0.1689727226520585, 0.004512309560431779], 1], [[29.0, 0.2881315441829357, 0.03776564720135021, 2.0, 10, 0.17333542400182458, 0.00918242043599267], 1], [], [0.22099418938159943, 0.41588810086250305, 0.3631177246570587], 1]"
5553,"[[], [[16.0, 0.4045506527182024, 0.06872810763222316, 0.0, 0, 0.3238776857980986, 0.021075989890217337], 1], [], [0.06216764822602272, 0.24423852562904358, 0.6935938000679016], 1]"
5554,"[[[18.0, 0.4704592108804223, 0.015046663043218604, 1.0, 9, 0.3575378908608669, 0.002698103896813394], 1], [[18.0, 0.449594994101369, 0.029900345548753256, 5.0, 13, 0.2807049302122107, 0.005073670882587872], 1], [], [0.29009872674942017, 0.5423446893692017, 0.16755658388137817], 1]"
5555,"[[[15.0, 0.23365151748171703, 0.054176496574238134, 5.0, 27, 0.15483610666935643, 0.009792221139022837], 1], [[15.0, 0.41640784934619507, 0.035510195910017604, 1.0, 15, 0.3151264673776626, 0.014928086314686171], 1], [], [0.2405586987733841, 0.4941592812538147, 0.2652820348739624], 1]"
5556,"[[[10.0, 0.3699547217674108, 0.051692337833169066, 2.0, 12, 0.2696152913646531, 0.009528713147551021], 1], [], [], [0.22296828031539917, 0.621772289276123, 0.15525943040847778], 1]"
5557,"[[[17.0, 0.4595836252414033, 0.025874539970665966, 1.0, 7, 0.35233845104060046, 0.006740305875126574], 1], [], [], [0.15865164995193481, 0.7262344360351562, 0.11511392146348953], 1]"
5558,"[[], [[16.0, 0.2980421968104957, 0.08714932062630414, 2.0, 12, 0.16611548998572556, 0.014662679511919036], 1], [[16.0, 0.4169404780028677, 0.07431104791582191, 0.0, 0, 0.3214714233546723, -327794.6528198163], 1], [0.08512711524963379, 0.6978086829185486, 0.21706420183181763], 1]"
5559,"[[[30.0, 0.3333148528663363, 0.027818119086016817, 3.0, 15, 0.21776924507889836, 0.0030326676097656192], 1], [], [], [0.06647992134094238, 0.38102513551712036, 0.5524949431419373], 1]"
5560,"[[[14.0, 0.7992067615592938, 0.004855295619075833, 1.0, 1, 0.7746178743090787, 0.0010751437754664827], 1], [], [], [0.497112512588501, 0.3361336588859558, 0.1667538434267044], 1]"
5561,"[[], [[12.0, 0.6460635663682394, 0.01844238750245666, 0.0, 0, 0.6172515281865519, 0.009996906235053837], 1], [], [0.06525451689958572, 0.5233641862869263, 0.4113812744617462], 1]"
5562,"[[[16.0, 0.6521822715696298, 0.012202126564249575, 1.0, 9, 0.6241561268256102, 0.0029444467296127624], 1], [[16.0, 0.44498730544942144, 0.06481180672403589, 0.0, 0, 0.4063368267121618, 0.02439062986392156], 0], [], [0.11187788099050522, 0.791671633720398, 0.09645047783851624], 1]"
5563,"[[[16.0, 0.2997637909866614, 0.04354225851714009, 4.0, 16, 0.16888172848869432, 0.008453838403279068], 0], [], [], [0.2659831643104553, 0.4781968593597412, 0.25581997632980347], 1]"
5564,"[[[11.0, 0.2959864329070192, 0.07001517749407811, 0.0, 8, 0.2258945090754559, 15.886147808990286], 1], [], [], [0.06851859390735626, 0.5031180381774902, 0.4283633530139923], 1]"
5565,"[[], [[14.0, 0.464867749529868, 0.04462387643525868, 0.0, 6, 0.4045886609546564, 0.008195306464046469], 1], [], [0.08747929334640503, 0.7832460999488831, 0.1292746365070343], 1]"
5566,"[[[19.0, 0.43184843261145894, 0.03994552316793022, 2.0, 4, 0.2689247701725572, 0.006371243555119401], 1], [], [], [0.46998733282089233, 0.3046640157699585, 0.22534865140914917], 1]"
5567,"[[], [], [], [0.04922419413924217, 0.17430301010608673, 0.776472806930542], 1]"
5568,"[[], [[20.0, 0.36633281897205777, 0.07015810210959013, 3.0, 9, 0.2675961488651585, 0.008346747368309725], 1], [], [0.07947342842817307, 0.2612594664096832, 0.6592670679092407], 1]"
5569,"[[], [[10.0, 0.581886597166185, 0.022261927336341178, 2.0, 2, 0.4129240024376471, 0.009105278733906924], 1], [], [0.8687028288841248, 0.06995300203561783, 0.061344146728515625], 1]"
5570,"[[], [[16.0, 0.489218510617882, 0.05153259019781, 0.0, 0, 0.37125586725068743, 0.011699947206071969], 1], [], [0.10697972774505615, 0.3739916682243347, 0.5190286040306091], 1]"
5571,"[[[9.0, 0.46036106314367076, 0.010795790525655272, 2.0, 8, 0.3512807617073854, 0.0005435038605325858], 1], [], [], [0.054870933294296265, 0.24827849864959717, 0.6968505382537842], 1]"
5572,"[[], [[15.0, 0.48768124316573963, 0.08561909404345851, 0.0, 0, 0.4540658271255952, 0.019701031533630422], 1], [], [0.10884599387645721, 0.7932220101356506, 0.09793198108673096], 1]"
5573,"[[[10.0, 0.3958480049005323, 0.042686769982936704, 3.0, 15, 0.27246202100704325, 0.004549832050775031], 1], [], [], [0.09845193475484848, 0.5518317222595215, 0.34971633553504944], 1]"
5574,"[[], [], [], [0.07240916788578033, 0.3332292139530182, 0.5943616032600403], 1]"
5575,"[[[17.0, 0.4352462054353727, 0.030667309201428558, 1.0, 9, 0.32036181822913806, 0.006414864964579592], 1], [], [[17.0, 0.2854546363272506, 0.08243187195642561, 0.0, 10, 0.11999909502944925, 0.007286223974334786], 1], [0.25861695408821106, 0.6028246879577637, 0.13855834305286407], 1]"
5576,"[[[16.0, 0.44185087636782894, 0.015863762482324944, 7.0, 13, 0.3142898015754827, 0.0019128026564663961], 1], [], [], [0.11194543540477753, 0.6959338784217834, 0.19212070107460022], 1]"
5577,"[[], [], [[23.0, 0.5720009224441348, 0.0498005422451127, 0.0, 0, 0.5423390865474484, 20.18346595667964], 0], [0.12885738909244537, 0.7536848783493042, 0.11745775490999222], 1]"
5578,"[[[20.0, 0.7541731511931128, 0.016840550811001005, 0.0, 0, 0.7491869213900167, 0.006392421629665976], 1], [], [[20.0, 0.3328568494078951, 0.07331382314274651, 4.0, 10, 0.2603827332853859, 0.02050193739744913], 1], [0.0662095919251442, 0.3408314883708954, 0.592958927154541], 1]"
5579,"[[[26.0, 0.33023549042758854, 0.030092960800433218, 0.0, 20, 0.280873539643946, 0.008252914569768042], 1], [], [], [0.4300423562526703, 0.451278418302536, 0.1186792328953743], 1]"
5580,"[[], [], [], [0.4961622953414917, 0.2418486773967743, 0.261989027261734], 1]"
5581,"[[[15.0, 0.383522108724253, 0.023790431977293924, 0.0, 8, 0.2641582517175243, 0.006239452557673965], 1], [], [], [0.09356889128684998, 0.6819649338722229, 0.22446618974208832], 1]"
5582,"[[[21.0, 0.3961280013268402, 0.020720185275078976, 1.0, 17, 0.3205074428359507, 0.005840389285190611], 1], [[21.0, 0.566525189051451, 0.01227150270500721, 2.0, 10, 0.4122427626947512, 0.006741459863337312], 1], [], [0.10539796203374863, 0.46363410353660583, 0.43096792697906494], 1]"
5583,"[[], [], [], [0.0629909411072731, 0.3400527238845825, 0.5969563126564026], 1]"
