,Eventdata
28,"[[[10.0, 0.530552871394333, 0.006949928989787492, 3.0, 13, 0.4686934540175092, 0.00137977010289092], 0], [[10.0, 0.5184686614315236, 0.0057847040330154375, 3.0, 15, 0.47593530684869806, 0.0006265265423759641], 0], [], [0.8872279524803162, 0.06908391416072845, 0.04368815943598747], 0]"
29,"[[[19.0, 0.5506934233175932, 0.010569453483296288, 1.0, 11, 0.4727066793394439, 0.0027323592724573863], 1], [], [], [0.2767636179924011, 0.5803505182266235, 0.14288587868213654], 0]"
30,"[[], [[16.0, 0.4386895189032978, 0.08565783923187371, 0.0, 0, 0.3652987614356842, 0.01924123872751589], 0], [], [0.856835663318634, 0.057687170803546906, 0.08547716587781906], 0]"
31,"[[[32.0, 0.8427594671207466, 0.007210780930192766, 3.0, 13, 0.8415867119965941, 0.003984851885415269], 1], [], [], [0.13294364511966705, 0.6159787178039551, 0.2510776221752167], 0]"
32,"[[], [[22.0, 0.2746125695965811, 0.05208950906240243, 1.0, 25, 0.15289083362826164, 0.013739227199837433], 0], [[22.0, 0.2979957702911782, 0.05922304573391091, 1.0, 13, 0.18497829691071507, 0.00651054628884968], 1], [0.8836328387260437, 0.035283394157886505, 0.08108378201723099], 0]"
33,"[[[27.0, 0.2992545186670465, 0.018200932288869855, 2.0, 20, 0.17078612189478232, 0.007439952667153072], 0], [], [], [0.681684672832489, 0.22594371438026428, 0.0923716351389885], 0]"
34,"[[[10.0, 0.433356601829756, 0.015911001494386446, 2.0, 20, 0.3153909333119654, 0.00303666779526736], 1], [], [], [0.34021565318107605, 0.5442732572555542, 0.11551110446453094], 0]"
35,"[[[15.0, 0.6186355727145202, 0.013691747354824467, 2.0, 8, 0.5133029649843734, 0.0009688103979853501], 1], [], [], [0.18327747285366058, 0.3032950460910797, 0.5134274959564209], 0]"
36,"[[[24.0, 0.4425637595685304, 0.016016546708280184, 1.0, 17, 0.39928683033561413, 0.002026017584847972], 1], [], [], [0.8822616934776306, 0.05233825743198395, 0.06540004163980484], 0]"
37,"[[[35.0, 0.2791149982628427, 0.03641150616689374, 2.0, 22, 0.14885879285391354, 0.006698788704380605], 0], [[35.0, 0.2840510628422118, 0.07568928627753971, 1.0, 13, 0.17744204256766571, 0.018895565341638013], 0], [], [0.21145974099636078, 0.39536547660827637, 0.39317476749420166], 0]"
38,"[[], [], [], [0.09919469803571701, 0.817786455154419, 0.08301886916160583], 0]"
39,"[[], [[23.0, 0.30809424104917554, 0.06686164437435624, 1.0, 17, 0.21280884378650763, 0.008675566487851446], 1], [], [0.04975374788045883, 0.21806031465530396, 0.732185959815979], 0]"
40,"[[], [], [], [0.05668240413069725, 0.31756991147994995, 0.6257476806640625], 0]"
41,"[[], [], [], [0.15804332494735718, 0.7159972190856934, 0.12595945596694946], 0]"
42,"[[], [[27.0, 0.2595741594778226, 0.13570885460700918, 1.0, 19, 0.1112993480158119, -332946.7225686327], 0], [], [0.06801161915063858, 0.5626454949378967, 0.3693428635597229], 0]"
43,"[[[14.0, 0.35582671026444923, 0.030392932176312247, 4.0, 16, 0.25122651287829567, 0.00478658304326712], 0], [], [], [0.9088195562362671, 0.06947688013315201, 0.021703582257032394], 0]"
44,"[[[45.0, 0.30639522312900985, 0.02746894909478483, 2.0, 14, 0.18683211408463746, 0.004773851745790685], 0], [[45.0, 0.24769214206319146, 0.04566092360786724, 7.0, 23, 0.11564412802051581, 0.007641918334336391], 0], [], [0.16801270842552185, 0.5373971462249756, 0.29459014534950256], 0]"
45,"[[], [], [[15.0, 0.24573254183418816, 0.08375854537209813, 1.0, 15, 0.13653810068064345, 0.015846399937942797], 1], [0.8707677125930786, 0.09671242535114288, 0.03251984715461731], 0]"
46,"[[[20.0, 0.3236205365990343, 0.058945251643789, 3.0, 19, 0.21357432507804633, 0.007460844116598568], 0], [], [], [0.054507408291101456, 0.6097177267074585, 0.33577486872673035], 0]"
47,"[[[12.0, 0.2644126490324573, 0.05895089165710573, 4.0, 24, 0.20472688598070102, 0.004914476844364175], 1], [[12.0, 0.36079452387564637, 0.04211052641389543, 0.0, 12, 0.2653143791393022, 0.016370960381143884], 0], [], [0.6318475604057312, 0.2316436618566513, 0.13650880753993988], 0]"
48,"[[[21.0, 0.3241180876648914, 0.01513146423395222, 2.0, 16, 0.1690063669778209, 0.002044805506131241], 0], [], [[21.0, 0.3222019731881634, 0.09067455698774743, 4.0, 10, 0.2414734537189739, -352169.6889542738], 1], [0.3963196873664856, 0.43103766441345215, 0.17264264822006226], 0]"
49,"[[], [[16.0, 0.36715634210767567, 0.08750985603334166, 0.0, 0, 0.2495436002614438, 0.01660621151872493], 0], [], [0.2736256718635559, 0.6106656789779663, 0.11570869386196136], 0]"
50,"[[], [], [[24.0, 0.3467332806979618, 0.10841271850232141, 2.0, 12, 0.22964878845630274, -573637.5722545234], 0], [0.8827002048492432, 0.06653375923633575, 0.05076603963971138], 0]"
51,"[[[16.0, 0.4564079873148368, 0.07033130910211265, 0.0, 0, 0.3060253388936836, 0.012835631787408965], 1], [], [], [0.7523631453514099, 0.11532621085643768, 0.1323106735944748], 0]"
52,"[[], [[16.0, 0.3738951934855429, 0.07112589968864454, 3.0, 11, 0.3029102562243522, 0.013115298352973011], 0], [], [0.5253254771232605, 0.1996896117925644, 0.2749849259853363], 0]"
